epoch,time_elapsed,rollout_ep_steps,total_rollout_steps,rollout_return,actor_lr,critic_lr,,,,,
0.039108276,200,0.001,200,-226.374791,,0.0001,,,,,
time_elapsed,total_rollout_steps,critic_lr,rollout_ep_steps,rollout_return,epoch,actor_lr,mean_final_dist,succ_rate,mean_final_irs,,
0.039108276,200,0.001,200,-226.374791,,0.0001,,,,,
,200,,,,,,0.197472805,,,,
3.774250746,400,0.001,200,-227.7417317,1,0.0001,,,,,
3.816488266,600,0.001,200,-235.6682251,2,0.0001,,,,,
3.859773636,800,0.001,200,-234.379386,3,0.0001,,,,,
3.901291847,1000,0.001,200,-235.4635565,4,0.0001,,,,,
3.944274902,1200,0.001,200,-220.3381067,5,0.0001,,,,,
3.984046698,1400,0.001,200,-231.104269,6,0.0001,,,,,
4.025471449,1600,0.001,200,-236.1498342,7,0.0001,,,,,
4.065584183,1800,0.001,200,-220.8939778,8,0.0001,,,,,
4.104990482,2000,0.001,200,-235.0079282,9,0.0001,,,,,
4.146173716,2200,0.001,200,-231.9346182,10,0.0001,,,,,
4.188314199,2400,0.001,200,-235.5942734,11,0.0001,,,,,
4.227464914,2600,0.001,200,-224.9469821,12,0.0001,,,,,
4.26651144,2800,0.001,200,-222.9081728,13,0.0001,,,,,
4.308009386,3000,0.001,200,-237.0800847,14,0.0001,,,,,
4.348753929,3200,0.001,200,-236.6962142,15,0.0001,,,,,
4.389979362,3400,0.001,200,-236.1720587,16,0.0001,,,,,
4.431071043,3600,0.001,200,-217.8104872,17,0.0001,,,,,
4.476459742,3800,0.001,200,-229.491009,18,0.0001,,,,,
4.518842459,4000,0.001,200,-215.2806606,19,0.0001,,,,,
4.559526443,4200,0.001,200,-230.6019921,20,0.0001,,,,,
4.603283644,4400,0.001,200,-230.3071515,21,0.0001,,,,,
4.645860434,4600,0.001,200,-212.0996765,22,0.0001,,,,,
4.688552618,4800,0.001,200,-236.7166502,23,0.0001,,,,,
4.729400873,5000,0.001,200,-224.9635683,24,0.0001,,,,,
4.769559622,5200,0.001,200,-236.020364,25,0.0001,,,,,
4.811339855,5400,0.001,200,-231.0560701,26,0.0001,,,,,
4.854986668,5600,0.001,200,-237.0313632,27,0.0001,,,,,
4.895530224,5800,0.001,200,-233.052668,28,0.0001,,,,,
4.937165499,6000,0.001,200,-231.3499956,29,0.0001,,,,,
4.978421211,6200,0.001,200,-228.0853066,30,0.0001,,,,,
5.017722845,6400,0.001,200,-222.6718345,31,0.0001,,,,,
5.057762146,6600,0.001,200,-233.8356788,32,0.0001,,,,,
5.100337267,6800,0.001,200,-235.178571,33,0.0001,,,,,
5.139974117,7000,0.001,200,-236.2356901,34,0.0001,,,,,
5.178685427,7200,0.001,200,-231.9656686,35,0.0001,,,,,
5.219699383,7400,0.001,200,-229.2748836,36,0.0001,,,,,
5.259727955,7600,0.001,200,-221.0646143,37,0.0001,,,,,
5.299255133,7800,0.001,200,-224.3004967,38,0.0001,,,,,
5.33808589,8000,0.001,200,-230.932921,39,0.0001,,,,,
5.377819538,8200,0.001,200,-234.7670212,40,0.0001,,,,,
5.418251038,8400,0.001,200,-236.0526285,41,0.0001,,,,,
5.457145214,8600,0.001,200,-235.2359944,42,0.0001,,,,,
5.494693518,8800,0.001,200,-234.4580767,43,0.0001,,,,,
5.534399748,9000,0.001,200,-234.5567523,44,0.0001,,,,,
5.573547363,9200,0.001,200,-228.1080219,45,0.0001,,,,,
5.612742662,9400,0.001,200,-236.9583597,46,0.0001,,,,,
5.65091157,9600,0.001,200,-233.7156883,47,0.0001,,,,,
5.690938234,9800,0.001,200,-227.4988368,48,0.0001,,,,,
